612470,1122,45,20285
931466,996,74,34977
1485686,898,121,64517
2153694,758,232,123753
1730246,513,438,242381
641494,1153,33,20285
975686,1028,61,34977
1540934,922,107,64517
2192982,773,224,123753
1737626,528,435,242381
621274,1135,32,20285
952438,1015,62,34977
1474502,897,127,64517
2123062,742,237,123753
1680486,501,444,242381
636654,1145,37,20285
964422,1019,63,34977
1542542,922,104,64517
2264962,787,203,123753
1726246,520,434,242381
636638,1146,37,20285
951610,1012,68,34977
1494474,907,116,64517
2197498,761,230,123753
1722954,508,448,242381
643042,1147,37,20285
986002,1025,59,34977
1594506,930,98,64517
2297670,779,212,123753
1739598,504,444,242381
635678,1153,36,20285
955238,1014,62,34977
1547890,925,106,64517
2167866,773,219,123753
1731490,516,428,242381
659026,1178,23,20285
1002070,1048,58,34977
1552950,928,122,64517
2230070,767,229,123753
1723438,513,444,242381
618074,1129,36,20285
959742,1026,54,34977
1517094,917,113,64517
2223398,777,210,123753
1729534,514,435,242381
629514,1148,31,20285
959698,1021,60,34977
1481730,898,127,64517
2146514,766,217,123753
1703914,517,436,242381
